"date","borough","coords_cbd","ridership"
2025-01-09,"Brooklyn",FALSE,NA
2025-01-09,"Brooklyn",TRUE,NA
2025-01-09,"Manhattan",FALSE,NA
2025-01-09,"Manhattan",TRUE,NA
2025-01-09,"Queens",FALSE,NA
2025-01-10,"Bronx",FALSE,220329
2025-01-10,"Brooklyn",FALSE,NA
2025-01-10,"Brooklyn",TRUE,17444
2025-01-10,"Manhattan",FALSE,NA
2025-01-10,"Manhattan",TRUE,NA
2025-01-10,"Queens",FALSE,NA
2025-01-11,"Bronx",FALSE,127733
2025-01-11,"Brooklyn",FALSE,NA
2025-01-11,"Brooklyn",TRUE,14817
2025-01-11,"Manhattan",FALSE,NA
2025-01-11,"Manhattan",TRUE,NA
2025-01-11,"Queens",FALSE,NA
2025-01-12,"Bronx",FALSE,101341
2025-01-12,"Brooklyn",FALSE,NA
2025-01-12,"Brooklyn",TRUE,12769
2025-01-12,"Manhattan",FALSE,NA
2025-01-12,"Manhattan",TRUE,NA
2025-01-12,"Queens",FALSE,NA
2025-01-13,"Bronx",FALSE,221765
2025-01-13,"Brooklyn",FALSE,NA
2025-01-13,"Brooklyn",TRUE,16944
2025-01-13,"Manhattan",FALSE,NA
2025-01-13,"Manhattan",TRUE,NA
2025-01-13,"Queens",FALSE,NA
2025-01-14,"Bronx",FALSE,227319
2025-01-14,"Brooklyn",FALSE,NA
2025-01-14,"Brooklyn",TRUE,NA
2025-01-14,"Manhattan",FALSE,NA
2025-01-14,"Manhattan",TRUE,NA
2025-01-14,"Queens",FALSE,NA
2025-01-15,"Bronx",FALSE,227996
2025-01-15,"Brooklyn",FALSE,NA
2025-01-15,"Brooklyn",TRUE,NA
2025-01-15,"Manhattan",FALSE,NA
2025-01-15,"Manhattan",TRUE,NA
2025-01-15,"Queens",FALSE,NA
2025-01-16,"Bronx",FALSE,227685
2025-01-16,"Brooklyn",FALSE,NA
2025-01-16,"Brooklyn",TRUE,NA
2025-01-16,"Manhattan",FALSE,NA
2025-01-16,"Manhattan",TRUE,NA
2025-01-16,"Queens",FALSE,NA
2025-01-17,"Bronx",FALSE,224946
2025-01-17,"Brooklyn",FALSE,NA
2025-01-17,"Brooklyn",TRUE,17749
2025-01-17,"Manhattan",FALSE,NA
2025-01-17,"Manhattan",TRUE,NA
2025-01-17,"Queens",FALSE,NA
2025-01-18,"Bronx",FALSE,127693
2025-01-18,"Brooklyn",FALSE,NA
2025-01-18,"Brooklyn",TRUE,14553
2025-01-18,"Manhattan",FALSE,NA
2025-01-18,"Manhattan",TRUE,NA
2025-01-18,"Queens",FALSE,NA
2025-01-19,"Bronx",FALSE,96036
2025-01-19,"Brooklyn",FALSE,NA
2025-01-19,"Brooklyn",TRUE,12098
2025-01-19,"Manhattan",FALSE,NA
2025-01-19,"Manhattan",TRUE,NA
2025-01-19,"Queens",FALSE,NA
2025-01-20,"Bronx",FALSE,142020
2025-01-20,"Brooklyn",FALSE,NA
2025-01-20,"Brooklyn",TRUE,12351
2025-01-20,"Manhattan",FALSE,NA
2025-01-20,"Manhattan",TRUE,NA
2025-01-20,"Queens",FALSE,NA
2025-01-21,"Bronx",FALSE,215198
2025-01-21,"Brooklyn",FALSE,NA
2025-01-21,"Brooklyn",TRUE,18184
2025-01-21,"Manhattan",FALSE,NA
2025-01-21,"Manhattan",TRUE,NA
2025-01-21,"Queens",FALSE,NA
