"","date","ridership","min_temp","snow","snow_d","rain"
"432",2025-08-06,2664,67,0,0,0.02
"433",2025-08-07,2754,64,0,0,0
"434",2025-08-08,2483,60,0,0,0
"435",2025-08-09,1403,58,0,0,0
"436",2025-08-10,998,66,0,0,0
"437",2025-08-11,2533,68,0,0,0
"438",2025-08-12,2532,68,0,NA,0
"439",2025-08-13,2475,72,0,NA,0.57
"440",2025-08-14,2499,74,0,0,0
"441",2025-08-15,2356,74,0,0,0
"442",2025-08-16,3,74,0,0,0
"443",2025-08-18,2263,64,0,0,0
"444",2025-08-19,2576,62,0,0,0
"445",2025-08-20,2380,61,0,0,0.99
"446",2025-08-21,2408,61,0,0,0.04
"447",2025-08-22,2366,60,0,0,0
"448",2025-08-23,1141,65,0,0,0
"449",2025-08-24,946,68,0,0,0
"450",2025-08-25,2524,68,0,0,0
"451",2025-08-26,2679,63,0,0,0
"452",2025-08-27,2738,63,0,0,0
"453",2025-08-28,2599,60,0,0,0.08
"454",2025-08-29,2345,65,0,0,0
"455",2025-08-30,1073,58,0,0,0
"456",2025-08-31,761,59,0,0,0
"457",2025-09-01,911,59,0,0,0
"458",2025-09-02,2605,59,0,0,0
"459",2025-09-03,2912,59,0,0,0
"460",2025-09-04,3008,63,0,0,0.11
"461",2025-09-05,2974,66,0,0,0.27
"462",2025-09-06,1151,65,0,0,0.38
"463",2025-09-07,892,60,0,0,0.62
"464",2025-09-08,3053,56,0,0,0
"465",2025-09-09,3254,55,0,0,0
"466",2025-09-10,3221,61,0,0,0.08
"467",2025-09-11,3214,59,0,0,0
"468",2025-09-12,3137,61,0,0,0
"469",2025-09-13,1375,60,0,0,0
"470",2025-09-14,1036,63,0,0,0
"471",2025-09-15,3092,63,0,0,0
"472",2025-09-16,3391,63,0,0,0
"473",2025-09-17,2924,63,0,0,0.03
"474",2025-09-18,3301,65,0,0,0
"475",2025-09-19,3085,66,0,0,0
"476",2025-09-20,1493,58,0,0,0
"477",2025-09-21,1039,55,0,0,0
"478",2025-09-22,3171,52,0,0,0
"479",2025-09-23,2980,65,0,0,0
"480",2025-09-24,2883,68,0,0,0.11
"481",2025-09-25,3226,70,0,0,1.27
"482",2025-09-26,3155,68,0,0,0
"483",2025-09-27,1433,65,0,0,0.02
"484",2025-09-28,1005,65,0,0,0.07
"485",2025-09-29,3276,66,0,0,0
"486",2025-09-30,3243,64,0,0,0
"487",2025-10-01,3226,55,0,0,0
"488",2025-10-02,2879,52,0,0,0
"489",2025-10-03,3103,51,0,0,0
"490",2025-10-04,19,57,0,0,0
"491",2025-10-05,18,60,0,0,0
"492",2025-10-06,3045,61,0,0,0
"493",2025-10-07,3122,64,0,0,0
"494",2025-10-08,3149,57,0,0,0.12
"495",2025-10-09,3231,46,0,0,0
"496",2025-10-10,2956,43,0,0,0
"497",2025-10-11,1195,58,0,0,0.08
"498",2025-10-12,749,56,0,0,1.14
"499",2025-10-13,1669,55,0,0,0.51
"500",2025-10-14,3236,54,0,0,0
"501",2025-10-15,3204,53,0,0,0
"502",2025-10-16,3294,46,0,0,0
"503",2025-10-17,2990,47,0,0,0
"504",2025-10-18,1333,47,0,0,0
"505",2025-10-19,971,50,0,0,0
"506",2025-10-20,2715,55,0,0,0
"507",2025-10-21,3314,51,0,0,0.03
"508",2025-10-22,3370,55,0,0,0.14
"509",2025-10-23,3297,51,0,0,0
"510",2025-10-24,3110,47,0,0,0
"511",2025-10-25,1412,45,0,0,0
"512",2025-10-26,996,45,0,0,0
"513",2025-10-27,3123,42,0,0,0
"514",2025-10-28,3278,43,0,0,0
"515",2025-10-29,3378,49,0,0,0.01
"516",2025-10-30,2997,51,0,0,1.96
"517",2025-10-31,3216,52,0,0,0
"518",2025-11-01,1315,46,0,0,0
"519",2025-11-02,1111,39,0,0,0
"520",2025-11-03,2966,47,0,0,0.01
"521",2025-11-04,2967,47,0,0,0
"522",2025-11-05,3408,42,0,0,0
"523",2025-11-06,3379,42,0,0,0
"524",2025-11-07,3163,35,0,0,0
"525",2025-11-08,1485,52,0,0,0.02
"526",2025-11-09,1023,50,0,0,0.18
"527",2025-11-10,3152,35,0,0,0.21
"528",2025-11-11,2470,33,0,0,0
"529",2025-11-12,3415,39,0,0,0
"530",2025-11-13,3369,44,0,0,0.02
"531",2025-11-14,3182,40,0,0,0
"532",2025-11-15,1547,35,0,0,0
"533",2025-11-16,1079,42,0,0,0.05
"534",2025-11-17,3164,37,0,0,0
"535",2025-11-18,3375,37,0,0,0
"536",2025-11-19,3335,37,0,0,0.24
"537",2025-11-20,3498,35,0,0,0
"538",2025-11-21,3193,39,0,0,0
"539",2025-11-22,1507,39,0,0,0.26
"540",2025-11-23,1100,32,0,0,0
"541",2025-11-24,3254,41,0,0,0
"542",2025-11-25,3390,40,0,0,0.58
"543",2025-11-26,3055,50,0,0,0.04
"544",2025-11-27,832,36,0,0,0
"545",2025-11-28,1661,33,0,0,0
"546",2025-11-29,1311,33,0,0,0
"547",2025-11-30,954,32,0,0,0.19
"548",2025-12-01,3212,30,0,0,0
"549",2025-12-02,3094,30,0,0,0.88
"550",2025-12-03,3616,31,0,0,0
"551",2025-12-04,3467,24,0,0,0
"552",2025-12-05,3092,20,0,0,0
"553",2025-12-06,1452,33,0,0,0
"554",2025-12-07,1089,29,0,0,0
"555",2025-12-08,3077,22,0,0,0
"556",2025-12-09,3360,18,0,0,0
"557",2025-12-10,16,32,0,0,0.06
