"date","borough","ridership"
2024-12-12,"Queens",224896
2024-12-13,"Bronx",106919
2024-12-13,"Brooklyn",315026
2024-12-13,"Manhattan",371693
2024-12-13,"Queens",212432
2024-12-16,"Bronx",106812
2024-12-16,"Brooklyn",319253
2024-12-16,"Manhattan",372733
2024-12-16,"Queens",208556
2024-12-17,"Bronx",118484
2024-12-17,"Brooklyn",347686
2024-12-17,"Manhattan",390383
2024-12-17,"Queens",219075
2024-12-18,"Bronx",118145
2024-12-18,"Brooklyn",346930
2024-12-18,"Manhattan",387872
2024-12-18,"Queens",216199
2024-12-19,"Bronx",115302
2024-12-19,"Brooklyn",339432
2024-12-19,"Manhattan",386018
2024-12-19,"Queens",217076
2024-12-20,"Bronx",105119
2024-12-20,"Brooklyn",297960
2024-12-20,"Manhattan",350957
2024-12-20,"Queens",206845
2024-12-23,"Bronx",79474
2024-12-23,"Brooklyn",225282
2024-12-23,"Manhattan",289066
2024-12-23,"Queens",169853
2024-12-24,"Bronx",65955
2024-12-24,"Brooklyn",182364
2024-12-24,"Manhattan",240685
2024-12-24,"Queens",138997
2024-12-25,"Bronx",22956
2024-12-25,"Brooklyn",66529
2024-12-25,"Manhattan",117710
2024-12-25,"Queens",52475
2024-12-26,"Bronx",70025
2024-12-26,"Brooklyn",181077
2024-12-26,"Manhattan",236926
2024-12-26,"Queens",145112
2024-12-27,"Bronx",74531
2024-12-27,"Brooklyn",196528
2024-12-27,"Manhattan",261487
2024-12-27,"Queens",152790
2024-12-30,"Bronx",79195
2024-12-30,"Brooklyn",223190
2024-12-30,"Manhattan",285383
2024-12-30,"Queens",163379
2024-12-31,"Bronx",69690
2024-12-31,"Brooklyn",192642
2024-12-31,"Manhattan",253131
2024-12-31,"Queens",142126
2025-01-01,"Bronx",13388
2025-01-01,"Brooklyn",31646
2025-01-01,"Manhattan",48223
2025-01-01,"Queens",26511
2025-01-02,"Bronx",36830
2025-01-02,"Brooklyn",87726
2025-01-02,"Manhattan",120177
2025-01-02,"Queens",74022
2025-01-03,"Bronx",36707
2025-01-03,"Brooklyn",86199
2025-01-03,"Manhattan",115843
2025-01-03,"Queens",73326
2025-01-06,"Bronx",39665
2025-01-06,"Brooklyn",97408
2025-01-06,"Manhattan",121790
2025-01-06,"Queens",80224
2025-01-07,"Bronx",41396
2025-01-07,"Brooklyn",102461
2025-01-07,"Manhattan",126330
2025-01-07,"Queens",83770
2025-01-08,"Bronx",41946
2025-01-08,"Brooklyn",103531
2025-01-08,"Manhattan",127753
2025-01-08,"Queens",84739
2025-01-09,"Bronx",40702
2025-01-09,"Brooklyn",99337
2025-01-09,"Manhattan",125071
2025-01-09,"Queens",82340
